T	X[nTp]	Y[nTp]
0	0	0
0.004	1	0
0.008	1	0.0541111
0.012	1	0.10556
0.016	1	0.154454
0.02	1	0.2009
0.024	1	0.245001
0.028	1	0.286856
0.032	1	0.326565
0.036	1	0.364221
0.04	1	0.399916
0.044	1	0.43374
0.048	1	0.465777
0.052	1	0.496112
0.056	1	0.524824
0.06	1	0.55199
0.064	1	0.577684
0.068	1	0.601978
0.072	1	0.624941
0.076	1	0.646637
0.08	1	0.66713
0.084	1	0.686481
0.088	1	0.704748
0.092	1	0.721985
0.096	1	0.738246
0.1	1	0.753581
0.104	1	0.768039
0.108	1	0.781665
0.112	1	0.794505
0.116	1	0.806599
0.12	1	0.817988
0.124	1	0.82871
0.128	1	0.838801
0.132	1	0.848295
0.136	1	0.857226
0.14	1	0.865624
0.144	1	0.87352
0.148	1	0.88094
0.152	1	0.887912
0.156	1	0.894461
0.16	1	0.900612
0.164	1	0.906386
0.168	1	0.911806
0.172	1	0.916891
0.176	1	0.921662
0.18	1	0.926136
0.184	1	0.930331
0.188	1	0.934264
0.192	1	0.937949
0.196	1	0.941401
0.2	1	0.944634
0.204	1	0.947662
0.208	1	0.950496
0.212	1	0.953149
0.216	1	0.955631
0.22	1	0.957952
0.224	1	0.960123
0.228	1	0.962153
0.232	1	0.964049
0.236	1	0.965822
0.24	1	0.967477
0.244	1	0.969023
0.248	1	0.970467
0.252	1	0.971814
0.256	1	0.973071
0.26	1	0.974244
0.264	1	0.975337
0.268	1	0.976357
0.272	1	0.977307
0.276	1	0.978192
0.28	1	0.979017
0.284	1	0.979784
0.288	1	0.980499
0.292	1	0.981164
0.296	1	0.981783
0.3	1	0.982359
0.304	1	0.982894
0.308	1	0.983391
0.312	1	0.983853
0.316	1	0.984282
0.32	1	0.984681
0.324	1	0.985051
0.328	1	0.985394
0.332	1	0.985712
0.336	1	0.986007
0.34	1	0.98628
0.344	1	0.986534
0.348	1	0.986768
0.352	1	0.986985
0.356	1	0.987186
0.36	1	0.987372
0.364	1	0.987544
0.368	1	0.987702
0.372	1	0.987849
0.376	1	0.987984
0.38	1	0.988109
0.384	1	0.988224
0.388	1	0.988331
0.392	1	0.988428
0.396	1	0.988518
0.4	1	0.988601
0.404	1	0.988677
0.408	1	0.988747
0.412	1	0.988812
0.416	1	0.988871
0.42	1	0.988925
0.424	1	0.988974
0.428	1	0.98902
0.432	1	0.989061
0.436	1	0.989099
0.44	1	0.989134
0.444	1	0.989166
0.448	1	0.989195
0.452	1	0.989221
0.456	1	0.989245
0.46	1	0.989267
0.464	1	0.989286
0.468	1	0.989304
0.472	1	0.98932
0.476	1	0.989335
0.48	1	0.989348
0.484	1	0.98936
0.488	1	0.989371
0.492	1	0.98938
0.496	1	0.989389
0.5	1	0.989396
0.504	1	0.989403
0.508	1	0.989409
0.512	1	0.989415
0.516	1	0.989419
0.52	1	0.989423
0.524	1	0.989427
0.528	1	0.98943
0.532	1	0.989433
0.536	1	0.989435
0.54	1	0.989437
0.544	1	0.989439
0.548	1	0.98944
0.552	1	0.989441
0.556	1	0.989442
0.56	1	0.989443
0.564	1	0.989443
0.568	1	0.989443
0.572	1	0.989444
0.576	1	0.989444
0.58	1	0.989444
0.584	1	0.989443
0.588	1	0.989443
0.592	1	0.989443
0.596	1	0.989442
0.6	1	0.989442
0.604	1	0.989441
0.608	1	0.989441
0.612	1	0.98944
0.616	1	0.98944
0.62	1	0.989439
0.624	1	0.989439
0.628	1	0.989438
0.632	1	0.989437
0.636	1	0.989437
0.64	1	0.989436
0.644	1	0.989435
0.648	1	0.989435
0.652	1	0.989434
0.656	1	0.989433
0.66	1	0.989433
0.664	1	0.989432
0.668	1	0.989432
0.672	1	0.989431
0.676	1	0.989431
0.68	1	0.98943
0.684	1	0.989429
0.688	1	0.989429
0.692	1	0.989428
0.696	1	0.989428
0.7	1	0.989428
0.704	1	0.989427
0.708	1	0.989427
0.712	1	0.989426
0.716	1	0.989426
0.72	1	0.989425
0.724	1	0.989425
0.728	1	0.989425
0.732	1	0.989424
0.736	1	0.989424
0.74	1	0.989424
0.744	1	0.989423
0.748	1	0.989423
0.752	1	0.989423
0.756	1	0.989423
0.76	1	0.989422
0.764	1	0.989422
0.768	1	0.989422
0.772	1	0.989422
0.776	1	0.989422
0.78	1	0.989421
0.784	1	0.989421
0.788	1	0.989421
0.792	1	0.989421
0.796	1	0.989421
0.8	1	0.989421
0.804	1	0.98942
0.808	1	0.98942
0.812	1	0.98942
0.816	1	0.98942
0.82	1	0.98942
0.824	1	0.98942
0.828	1	0.98942
0.832	1	0.98942
0.836	1	0.989419
0.84	1	0.989419
0.844	1	0.989419
0.848	1	0.989419
0.852	1	0.989419
0.856	1	0.989419
0.86	1	0.989419
0.864	1	0.989419
0.868	1	0.989419
0.872	1	0.989419
0.876	1	0.989419
0.88	1	0.989419
0.884	1	0.989419
0.888	1	0.989419
0.892	1	0.989419
0.896	1	0.989419
0.9	1	0.989419
0.904	1	0.989418
0.908	1	0.989418
0.912	1	0.989418
0.916	1	0.989418
0.92	1	0.989418
0.924	1	0.989418
0.928	1	0.989418
0.932	1	0.989418
0.936	1	0.989418
0.94	1	0.989418
0.944	1	0.989418
0.948	1	0.989418
0.952	1	0.989418
0.956	1	0.989418
0.96	1	0.989418
0.964	1	0.989418
0.968	1	0.989418
0.972	1	0.989418
0.976	1	0.989418
0.98	1	0.989418
0.984	1	0.989418
0.988	1	0.989418
0.992	1	0.989418
0.996	1	0.989418
1	1	0.989418
1.004	1	0.989418
1.008	1	0.989418
1.012	1	0.989418
1.016	1	0.989418
1.02	1	0.989418
1.024	1	0.989418
1.028	1	0.989418
1.032	1	0.989418
1.036	1	0.989418
1.04	1	0.989418
1.044	1	0.989418
1.048	1	0.989418
1.052	1	0.989418
1.056	1	0.989418
1.06	1	0.989418
1.064	1	0.989418
1.068	1	0.989418
1.072	1	0.989418
1.076	1	0.989418
1.08	1	0.989418
1.084	1	0.989418
1.088	1	0.989418
1.092	1	0.989418
1.096	1	0.989418
1.1	1	0.989418
1.104	1	0.989418
1.108	1	0.989418
1.112	1	0.989418
1.116	1	0.989418
1.12	1	0.989418
1.124	1	0.989418
1.128	1	0.989418
1.132	1	0.989418
1.136	1	0.989418
1.14	1	0.989418
1.144	1	0.989418
1.148	1	0.989418
1.152	1	0.989418
1.156	1	0.989418
1.16	1	0.989418
1.164	1	0.989418
1.168	1	0.989418
1.172	1	0.989418
1.176	1	0.989418
1.18	1	0.989418
1.184	1	0.989418
1.188	1	0.989418
1.192	1	0.989418
1.196	1	0.989418
1.2	1	0.989418
1.204	1	0.989418
1.208	1	0.989418
1.212	1	0.989418
1.216	1	0.989418
1.22	1	0.989418
1.224	1	0.989418
1.228	1	0.989418
1.232	1	0.989418
1.236	1	0.989418
1.24	1	0.989418
1.244	1	0.989418
1.248	1	0.989418
1.252	1	0.989418
1.256	1	0.989418
1.26	1	0.989418
1.264	1	0.989418
1.268	1	0.989418
1.272	1	0.989418
1.276	1	0.989418
1.28	1	0.989418
1.284	1	0.989418
1.288	1	0.989418
1.292	1	0.989418
1.296	1	0.989418
1.3	1	0.989418
1.304	1	0.989418
1.308	1	0.989418
1.312	1	0.989418
1.316	1	0.989418
1.32	1	0.989418
1.324	1	0.989418
1.328	1	0.989418
1.332	1	0.989418
1.336	1	0.989418
1.34	1	0.989418
1.344	1	0.989418
1.348	1	0.989418
1.352	1	0.989418
1.356	1	0.989418
1.36	1	0.989418
1.364	1	0.989418
1.368	1	0.989418
1.372	1	0.989418
1.376	1	0.989418
1.38	1	0.989418
1.384	1	0.989418
1.388	1	0.989418
1.392	1	0.989418
1.396	1	0.989418
1.4	1	0.989418
1.404	1	0.989418
1.408	1	0.989418
1.412	1	0.989418
1.416	1	0.989418
1.42	1	0.989418
1.424	1	0.989418
1.428	1	0.989418
1.432	1	0.989418
1.436	1	0.989418
1.44	1	0.989418
1.444	1	0.989418
1.448	1	0.989418
1.452	1	0.989418
1.456	1	0.989418
1.46	1	0.989418
1.464	1	0.989418
1.468	1	0.989418
1.472	1	0.989418
1.476	1	0.989418
1.48	1	0.989418
1.484	1	0.989418
1.488	1	0.989418
1.492	1	0.989418
1.496	1	0.989418
1.5	1	0.989418
1.504	1	0.989418
1.508	1	0.989418
1.512	1	0.989418
1.516	1	0.989418
1.52	1	0.989418
1.524	1	0.989418
1.528	1	0.989418
1.532	1	0.989418
1.536	1	0.989418
1.54	1	0.989418
1.544	1	0.989418
1.548	1	0.989418
1.552	1	0.989418
1.556	1	0.989418
1.56	1	0.989418
1.564	1	0.989418
1.568	1	0.989418
1.572	1	0.989418
1.576	1	0.989418
1.58	1	0.989418
1.584	1	0.989418
1.588	1	0.989418
1.592	1	0.989418
1.596	1	0.989418
1.6	1	0.989418
1.604	1	0.989418
1.608	1	0.989418
1.612	1	0.989418
1.616	1	0.989418
1.62	1	0.989418
1.624	1	0.989418
1.628	1	0.989418
1.632	1	0.989418
1.636	1	0.989418
1.64	1	0.989418
1.644	1	0.989418
1.648	1	0.989418
1.652	1	0.989418
1.656	1	0.989418
1.66	1	0.989418
1.664	1	0.989418
1.668	1	0.989418
1.672	1	0.989418
1.676	1	0.989418
1.68	1	0.989418
1.684	1	0.989418
1.688	1	0.989418
1.692	1	0.989418
1.696	1	0.989418
1.7	1	0.989418
1.704	1	0.989418
1.708	1	0.989418
1.712	1	0.989418
1.716	1	0.989418
1.72	1	0.989418
1.724	1	0.989418
1.728	1	0.989418
1.732	1	0.989418
1.736	1	0.989418
1.74	1	0.989418
1.744	1	0.989418
1.748	1	0.989418
1.752	1	0.989418
1.756	1	0.989418
1.76	1	0.989418
1.764	1	0.989418
1.768	1	0.989418
1.772	1	0.989418
1.776	1	0.989418
1.78	1	0.989418
1.784	1	0.989418
1.788	1	0.989418
1.792	1	0.989418
1.796	1	0.989418
1.8	1	0.989418
1.804	1	0.989418
1.808	1	0.989418
1.812	1	0.989418
1.816	1	0.989418
1.82	1	0.989418
1.824	1	0.989418
1.828	1	0.989418
1.832	1	0.989418
1.836	1	0.989418
1.84	1	0.989418
1.844	1	0.989418
1.848	1	0.989418
1.852	1	0.989418
