T	X[nTp]	Y[nTp]
0	0	0
0.004	200	0
0.008	0	9.74
0.012	0	9.26076
0.016	0	8.801
0.02	0	8.36027
0.024	0	7.93811
0.028	0	7.53402
0.032	0	7.14752
0.036	0	6.77807
0.04	0	6.42515
0.044	0	6.08823
0.048	0	5.76677
0.052	0	5.46025
0.056	0	5.16813
0.06	0	4.88989
0.064	0	4.625
0.068	0	4.37294
0.072	0	4.13322
0.076	0	3.90534
0.08	0	3.68881
0.084	0	3.48316
0.088	0	3.28794
0.092	0	3.10268
0.096	0	2.92695
0.1	0	2.76033
0.104	0	2.60242
0.108	0	2.45281
0.112	0	2.31112
0.116	0	2.17698
0.12	0	2.05003
0.124	0	1.92994
0.128	0	1.81637
0.132	0	1.709
0.136	0	1.60753
0.14	0	1.51167
0.144	0	1.42114
0.148	0	1.33566
0.152	0	1.25499
0.156	0	1.17887
0.16	0	1.10707
0.164	0	1.03937
0.168	0	0.975544
0.172	0	0.915398
0.176	0	0.858732
0.18	0	0.805362
0.184	0	0.75511
0.188	0	0.707807
0.192	0	0.663293
0.196	0	0.621415
0.2	0	0.582028
0.204	0	0.544993
0.208	0	0.51018
0.212	0	0.477465
0.216	0	0.446729
0.22	0	0.417861
0.224	0	0.390754
0.228	0	0.365307
0.232	0	0.341425
0.236	0	0.319018
0.24	0	0.298
0.244	0	0.278291
0.248	0	0.259814
0.252	0	0.242496
0.256	0	0.226268
0.26	0	0.211067
0.264	0	0.196831
0.268	0	0.183502
0.272	0	0.171026
0.276	0	0.159351
0.28	0	0.148429
0.284	0	0.138214
0.288	0	0.128662
0.292	0	0.119734
0.296	0	0.11139
0.3	0	0.103595
0.304	0	0.0963136
0.308	0	0.0895149
0.312	0	0.0831683
0.316	0	0.0772454
0.32	0	0.0717194
0.324	0	0.0665654
0.328	0	0.0617595
0.332	0	0.0572795
0.336	0	0.0531047
0.34	0	0.0492153
0.344	0	0.0455929
0.348	0	0.0422203
0.352	0	0.0390811
0.356	0	0.0361601
0.36	0	0.033443
0.364	0	0.0309165
0.368	0	0.0285677
0.372	0	0.0263851
0.376	0	0.0243575
0.38	0	0.0224746
0.384	0	0.0207266
0.388	0	0.0191045
0.392	0	0.0175997
0.396	0	0.0162043
0.4	0	0.0149107
0.404	0	0.0137121
0.408	0	0.0126019
0.412	0	0.011574
0.416	0	0.0106227
0.42	0	0.00974266
0.424	0	0.00892887
0.428	0	0.00817669
0.432	0	0.00748179
0.436	0	0.00684011
0.44	0	0.00624785
0.444	0	0.00570149
0.448	0	0.00519774
0.452	0	0.0047335
0.456	0	0.00430593
0.46	0	0.00391236
0.464	0	0.00355029
0.468	0	0.00321741
0.472	0	0.00291156
0.476	0	0.00263073
0.48	0	0.00237306
0.484	0	0.00213681
0.488	0	0.00192036
0.492	0	0.0017222
0.496	0	0.00154095
0.5	0	0.0013753
0.504	0	0.00122406
0.508	0	0.00108609
0.512	0	0.000960364
0.516	0	0.00084592
0.52	0	0.000741862
0.524	0	0.000647363
0.528	0	0.000561655
0.532	0	0.000484027
0.536	0	0.000413821
0.54	0	0.000350428
0.544	0	0.000293285
0.548	0	0.00024187
0.552	0	0.000195701
0.556	0	0.000154334
0.56	0	0.000117357
0.564	0	8.4391e-005
0.568	0	5.50858e-005
0.572	0	2.91186e-005
0.576	0	6.19198e-006
0.58	0	-1.39682e-005
0.584	0	-3.16142e-005
0.588	0	-4.69782e-005
0.592	0	-6.02735e-005
0.596	0	-7.16963e-005
0.6	0	-8.14267e-005
0.604	0	-8.96299e-005
0.608	0	-9.64575e-005
0.612	0	-0.000102048
0.616	0	-0.00010653
0.62	0	-0.000110018
0.624	0	-0.000112619
0.628	0	-0.00011443
0.632	0	-0.00011554
0.636	0	-0.00011603
0.64	0	-0.000115973
0.644	0	-0.000115435
0.648	0	-0.000114478
0.652	0	-0.000113157
0.656	0	-0.000111522
0.66	0	-0.000109617
0.664	0	-0.000107484
0.668	0	-0.00010516
0.672	0	-0.000102676
0.676	0	-0.000100064
0.68	0	-9.73503e-005
0.684	0	-9.45579e-005
0.688	0	-9.17085e-005
0.692	0	-8.88209e-005
0.696	0	-8.5912e-005
0.7	0	-8.29966e-005
0.704	0	-8.00877e-005
0.708	0	-7.71967e-005
0.712	0	-7.43337e-005
0.716	0	-7.15071e-005
0.72	0	-6.87245e-005
0.724	0	-6.59922e-005
0.728	0	-6.33155e-005
0.732	0	-6.06989e-005
0.736	0	-5.8146e-005
0.74	0	-5.56599e-005
0.744	0	-5.32428e-005
0.748	0	-5.08965e-005
0.752	0	-4.86223e-005
0.756	0	-4.64208e-005
0.76	0	-4.42925e-005
0.764	0	-4.22373e-005
0.768	0	-4.02551e-005
0.772	0	-3.83453e-005
0.776	0	-3.6507e-005
0.78	0	-3.47393e-005
0.784	0	-3.3041e-005
0.788	0	-3.14108e-005
0.792	0	-2.98472e-005
0.796	0	-2.83487e-005
0.8	0	-2.69137e-005
0.804	0	-2.55404e-005
0.808	0	-2.42271e-005
0.812	0	-2.2972e-005
0.816	0	-2.17733e-005
0.82	0	-2.06292e-005
0.824	0	-1.95377e-005
0.828	0	-1.84972e-005
0.832	0	-1.75057e-005
0.836	0	-1.65614e-005
0.84	0	-1.56626e-005
0.844	0	-1.48075e-005
0.848	0	-1.39943e-005
0.852	0	-1.32214e-005
0.856	0	-1.24872e-005
0.86	0	-1.17899e-005
0.864	0	-1.1128e-005
0.868	0	-1.05e-005
0.872	0	-9.90437e-006
0.876	0	-9.33971e-006
0.88	0	-8.80459e-006
0.884	0	-8.29768e-006
0.888	0	-7.81765e-006
0.892	0	-7.36326e-006
0.896	0	-6.93329e-006
0.9	0	-6.52657e-006
0.904	0	-6.14198e-006
0.908	0	-5.77843e-006
0.912	0	-5.43489e-006
0.916	0	-5.11037e-006
0.92	0	-4.80392e-006
0.924	0	-4.51461e-006
0.928	0	-4.24158e-006
0.932	0	-3.98399e-006
0.936	0	-3.74104e-006
0.94	0	-3.51197e-006
0.944	0	-3.29605e-006
0.948	0	-3.09259e-006
0.952	0	-2.90092e-006
0.956	0	-2.72041e-006
0.96	0	-2.55046e-006
0.964	0	-2.3905e-006
0.968	0	-2.23998e-006
0.972	0	-2.09839e-006
0.976	0	-1.96523e-006
0.98	0	-1.84003e-006
0.984	0	-1.72236e-006
0.988	0	-1.61178e-006
0.992	0	-1.5079e-006
0.996	0	-1.41035e-006
1	0	-1.31875e-006
1.004	0	-1.23277e-006
1.008	0	-1.15208e-006
1.012	0	-1.07638e-006
1.016	0	-1.00539e-006
1.02	0	-9.38813e-007
1.024	0	-8.76405e-007
1.028	0	-8.17918e-007
1.032	0	-7.6312e-007
1.036	0	-7.1179e-007
1.04	0	-6.63723e-007
1.044	0	-6.18723e-007
1.048	0	-5.76606e-007
1.052	0	-5.37196e-007
1.056	0	-5.00331e-007
1.06	0	-4.65854e-007
1.064	0	-4.3362e-007
1.068	0	-4.03491e-007
1.072	0	-3.75336e-007
1.076	0	-3.49035e-007
1.08	0	-3.24471e-007
1.084	0	-3.01537e-007
1.088	0	-2.80129e-007
1.092	0	-2.60152e-007
1.096	0	-2.41516e-007
1.1	0	-2.24135e-007
1.104	0	-2.0793e-007
1.108	0	-1.92825e-007
1.112	0	-1.78751e-007
1.116	0	-1.65639e-007
1.12	0	-1.53429e-007
1.124	0	-1.42062e-007
1.128	0	-1.31483e-007
1.132	0	-1.2164e-007
1.136	0	-1.12485e-007
1.14	0	-1.03973e-007
1.144	0	-9.60603e-008
1.148	0	-8.87083e-008
1.152	0	-8.18792e-008
